Text,Code
El PSOE incluirá a Barrionuevo en sus listas aunque sea procesado por Móner,303
El grupo abertzale Elkarri critica con gran dureza la línea más reciente de ETA,605
EL PUENTE SOBRE EL RÍO SAVA,104
González podria ser citado por Móner como imputado sin necesidad de pedir el suplicatorio,303
La ex mujer de Luis Roldán afirma que su marido suministraba droga a Gabriel Urralburu,605
Serbios y bosnios reciben el año en Sarajevo con un frenético intercambio de tiros al aire,605
Las recientes lluvias han duplicado el nivel de varios pantanos,411
Encontrada muerta la joven de 19 años desaparecida en Ibiza,000
El príncipe Abdala más alejado de occidente asume el poder en Arabia,305
Un año clave para España,404
PP e IU recurren al tirón populista de Celia Villalobos y Cristina Almeida,305
La Policía se incauta en Marín de 36000 kilos de hachís el mayor alijo en Europa,605
"Muamar Gadafi: ""Yo no me encuentro en un callejón sin salida como Fidel Castro""",305
Primera crisis grave en Sarajevo al retener los serbios a 16 bosnios,104
Jueces y oposición piden que el Supremo no paralice el caso GAL durante la campaña,303
El Gobierno prohíbe a Telefónica dar nuevos prefijos para telefonía móvil tras la saturación del 908,411
Los sindicatos y la patronal pactan someter las huelgas a la mediación obligatoria previa,701
Todos los partidos excepto HB consideran positivo el documento de Elkarri contra ETA,605
Aumenta por primera vez en 5 años el número de muertos en las carretera,411
La convocatoria de elecciones refuerza la apreciación de la peseta en el SME,404
Aznar promete bajar los impuestos mili de 6 meses y más cárcel para los etarras,404
MANIFESTANTES DE ARMAS TOMAR,605
Un muerto en el Granada-Dakar al chocar un camión con una mina,104
DEPORTES,502
1 año de prisión para dos acusados en la tragedia del cine Bilbao,605
El Gobierno premia a Tomás y Valiente nombrándole miembro permanente del Consejo de Estado,404
La embajada USA en Madrid cierra sus servicios por no poder pagar a los funcionarios,303
Dos encapuchados intentaron sacar de clase al sobrino de un dirigente del PNV para agredirle,201
Los serbios pretenden juzgar a los bosnios retenidos,503
Un informe del Ejército propone alargar la 'mili' o reclutar a mujeres e incluso inmigrantes,104
Damborenea revela que planeó secuestros en Francia en una reunión con Barrionuevo,303
El Supremo no paralizará la investigación sobre el GAL durante la campaña electoral,303
Los serbios liberan a los 16 civiles bosnios pero capturan a otros tres,503
"Jordi Pujol: ""El CESID espiaba a todo el mundo y su responsable era Serra""",104
"El fiscal del ""caso Filesa"" recurrirá hoy la decisión del juez de acusar tan sólo a 7 personas",303
Restos de alcohol en el cadáver del piloto del avión caído en Cali,411
El Banco de España no aprovecha la apreciación de la peseta y mantiene los tipos en el 9%,403
Las radios galas deben emitir un 40% de canciones francesas,502
"Plácido Domingo afirma que ""los tres tenores"" cantarán en Madrid",502
Móner decide la próxima semana si procesa y encarcela a Barrionuevo,303
Una empresa de Polanco vendió a Uruguay con créditos FAD material defectuoso con un 70% de sobreprecio tras pagar 'coimas' millonarias,107
La suerte de llamarse Sort,502
Crece de nuevo el margen de ventaja del PP sobre el PSOE,305
Su Dinero,404
